antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'yogurt'}),frozenset({'whole milk'}),0.0858785003007418,0.1579228764285236,0.0111608634632092,0.12996108949416288,0.822940237876073,1.0,-0.0024013163276517743,0.9678614524054977,-0.19052468938927117,0.0479747199080722,-0.033205731579272965,0.10031698148004788
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.110004678206242,0.1579228764285236,0.0139677872084475,0.12697448359659785,0.8040284376030025,1.0,-0.0034044679944763585,0.9645504143344816,-0.21498644472799683,0.055000000000000014,-0.03675244459873848,0.10771068657189184
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.122101182917864,0.1579228764285236,0.0148365969391164,0.12151067323481052,0.7694304712706183,1.0,-0.004445973082597993,0.958551342532764,-0.2544772519325217,0.05594758064516098,-0.04324093622123244,0.10772952197500128
frozenset({'soda'}),frozenset({'whole milk'}),0.0971061952816948,0.1579228764285236,0.0116286840874156,0.11975223675154831,0.7582956912879468,1.0,-0.0037066055904995693,0.9566364820557895,-0.2609169856037375,0.04777594728171326,-0.04532914932433184,0.09669372311551172
frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.110004678206242,0.122101182917864,0.0105593798035153,0.09599027946537031,0.7861535586427678,1.0,-0.0028723215319658227,0.9711165678206959,-0.23409074197703014,0.04766214177978868,-0.029742497591326356,0.09123542435227999
frozenset({'whole milk'}),frozenset({'other vegetables'}),0.1579228764285236,0.122101182917864,0.0148365969391164,0.09394837071519205,0.7694304712706181,1.0,-0.004445973082597993,0.9689280265133517,-0.2624613887779316,0.05594758064516098,-0.032068402024100204,0.10772952197500128
frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.1579228764285236,0.110004678206242,0.0139677872084475,0.08844688954718581,0.8040284376030025,1.0,-0.0034044679944763585,0.9763504853289926,-0.22447403737331803,0.055000000000000014,-0.024222361771078907,0.10771068657189184
frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.122101182917864,0.110004678206242,0.0105593798035153,0.08648056923918968,0.7861535586427678,1.0,-0.0028723215319658227,0.9742489232577564,-0.23655325435080932,0.04766214177978868,-0.026431722045055492,0.09123542435227999
frozenset({'whole milk'}),frozenset({'soda'}),0.1579228764285236,0.0971061952816948,0.0116286840874156,0.07363520947947512,0.7582956912879468,1.0,-0.0037066055904995693,0.9746633442436522,-0.2745866775282354,0.04777594728171326,-0.02599528945659608,0.09669372311551172
frozenset({'whole milk'}),frozenset({'yogurt'}),0.1579228764285236,0.0858785003007418,0.0111608634632092,0.07067287346593287,0.8229402378760731,1.0,-0.0024013163276517743,0.9836380254049847,-0.20350786612633817,0.0479747199080722,-0.01663414200389282,0.10031698148004788
